J01AA01,DEMECLOCYCLINE,22904,"ALKONATREM 150MG GELULE",GELULE,ORALE
J01AA02,DOXYCYCLINE,897,"VIBRAVEINEUSE 100MG/5ML SOL INJ",SOLUTION,INTRAVEINEUSE
J01AA02,DOXYCYCLINE,897,"VIBRAVEINEUSE 100MG/5ML SOL INJ",SOLUTION,PARENTERALE
J01AA02,DOXYCYCLINE,3682,"SPANOR 50MG GELULE NC",GELULE,ORALE
J01AA02,DOXYCYCLINE,3985,"VIBRAMYCINE N 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,5906,"SPANOR 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,9229,"TOLEXINE 100MG CPR G&iuml;&iquest;&frac12;",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,9230,"TOLEXINE 50MG CPR G&iuml;&iquest;&frac12;",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,11004,"GRANUDOXY 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,11155,"DOXY 50MG CPR G&iuml;&iquest;&frac12;",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,11156,"DOXY 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,11308,"VIBRAMYCINE 100MG GELULE NC",GELULE,ORALE
J01AA02,DOXYCYCLINE,12961,"DOXYCYCLINE BGA 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,14324,"DOXYCYCLINE MYL 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,14579,"DOXYPALU 50MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,14580,"DOXYPALU 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,16111,"DOXYCYCLINE RTP 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,16379,"DOXYCYCLINE ARW 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,17985,"DOXYLIS 100MG CPR G&iuml;&iquest;&frac12;",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,22258,"DOXYCYCLINE SDZ 100MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,23437,"DOXYCYCLINE 50MG CPR",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,25806,"DOXYCYCLINE PALU 50MG COMPRIME",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,34298,"DOXYCYCLINE 100MG/5ML SOL INJ",SOLUTION,INTRAVEINEUSE
J01AA02,DOXYCYCLINE,34298,"DOXYCYCLINE 100MG/5ML SOL INJ",SOLUTION,PARENTERALE
J01AA02,DOXYCYCLINE,35303,"DOXYCYCLINE 100MG GELULE NC",GELULE,ORALE
J01AA02,DOXYCYCLINE,35304,"DOXYCYCLINE 50MG GELULE NC",GELULE,ORALE
J01AA02,DOXYCYCLINE,35932,"DOXYCYCLINE ISO 100MG CPR NC",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,35936,"DOXYCYCLINE PRG 100MG CPR NC",COMPRIME,ORALE
J01AA02,DOXYCYCLINE,35937,"DOXYCYCLINE BGA 50 MG CPR NC",COMPRIME,ORALE
J01AA04,LYMECYCLINE,5843,"TETRALYSAL 150MG GELULE",GELULE,ORALE
J01AA04,LYMECYCLINE,25703,"TETRALYSAL 300MG GELULE",GELULE,ORALE
J01AA04,LYMECYCLINE,25710,"TETRACYCLINE 300MG GELULE",COMPRIME,ORALE
J01AA05,METACYCLINE,236,"LYSOCLINE 300MG GELULE",GELULE,ORALE
J01AA05,METACYCLINE,3975,"PHYSIOMYCINE 300MG GELULE",GELULE,ORALE
J01AA05,METACYCLINE,23727,"METACYCLINE 300 MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,441,"MESTACINE 100MG CPR",COMPRIME,ORALE
J01AA08,MINOCYCLINE,2020,"MYNOCINE 40MG ENF PDR ORALE NC",POUDRE,ORALE
J01AA08,MINOCYCLINE,4144,"MYNOCINE 100MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,4144,"MYNOCINE 100MG GELULE",GRANULES,ORALE
J01AA08,MINOCYCLINE,8073,"MESTACINE 50MG CPR NC",COMPRIME,ORALE
J01AA08,MINOCYCLINE,9563,"MYNOCINE 50MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,10489,"MINOCYCLINE MYL 50MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,10490,"MINOCYCLINE MYL 100MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,12017,"MINOCYCLINE BGA 100MG CPR",COMPRIME,ORALE
J01AA08,MINOCYCLINE,12140,"MINOCYCLINE EG 100MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,17057,"MINOCYCLINE IVX 100MG CPR NC",COMPRIME,ORALE
J01AA08,MINOCYCLINE,18669,"MINOCYCLINE SDZ 50MG GELULE",GELULE,ORALE
J01AA08,MINOCYCLINE,23134,"MINOCYCLINE 100MG COMPRIME",COMPRIME,ORALE
J01AA08,MINOCYCLINE,23391,"MINOCYCLINE 50 MG GELULE",GELULE,ORALE
J01AA12,TIGECYCLINE,20089,"TYGACIL 50MG PDR INJ",POUDRE,INTRAVEINEUSE
J01AA12,TIGECYCLINE,20089,"TYGACIL 50MG PDR INJ",POUDRE,PARENTERALE
